"","tremble"
"AD",0.082256980165744
"AC",0.082256980165744
"GRIM.1",0.082256980165744
"GRIM.2",0.082256980165744
"TFT.1",0.082256980165744
"TFT.2",0.082256980165744
"STFT.1",0.082256980165744
"STFT.2",0.082256980165744
"T8.1",0.082256980165744
"T8.2",0.082256980165744
"T8.3",0.082256980165744
"T8.4",0.082256980165744
"T8.5",0.082256980165744
"T8.6",0.082256980165744
"T8.7",0.082256980165744
"T8.8",0.082256980165744
"T7.1",0.082256980165744
"T7.2",0.082256980165744
"T7.3",0.082256980165744
"T7.4",0.082256980165744
"T7.5",0.082256980165744
"T7.6",0.082256980165744
"T7.7",0.082256980165744
"T6.1",0.082256980165744
"T6.2",0.082256980165744
"T6.3",0.082256980165744
"T6.4",0.082256980165744
"T6.5",0.082256980165744
"T6.6",0.082256980165744
"GRIM2.1",0.082256980165744
"GRIM2.2",0.082256980165744
"GRIM2.3",0.082256980165744
"TF2T.1",0.082256980165744
"TF2T.2",0.082256980165744
"TF2T.3",0.082256980165744
